trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
50.78260803,15.75818729,UPCDAA8FAA,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,38:43:7D:19:79:7B,,infra,,2,0,?,?,?,False,36,0,wpa2,PL,województwo dolnośląskie,Kolejowa,,7,58-540
50.78118134,15.74607277,Karpatia-5c-9,0,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,2024-07-11T09:00:00.000Z,38:EB:47:7E:67:3C,,infra,,2,0,?,?,?,False,11,0,wpa2,PL,województwo dolnośląskie,Myśliwska,,16,58-540
50.79952621,15.82766438,Orange_Swiatlowod_DA98,2,20240711-00000,2024-07-11T09:00:00.000Z,2024-07-31T08:00:00.000Z,2024-07-31T09:00:00.000Z,3C:17:10:66:DA:9D,,infra,,2,0,?,?,?,False,100,0,wpa2,PL,województwo dolnośląskie,Zamkowa,,,58-530
50.79042053,15.77830315,T-Mobile_5G_HomeOffice_2.4GHz,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,40:1A:58:3B:B3:4A,,infra,,3,0,?,?,?,False,3,0,wpa3,PL,województwo dolnośląskie,,Ścięgny,,58-534
50.79042053,15.77830315,T-Mobile_5G_HomeOffice_5GHz,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,40:1A:58:3B:B3:4B,,infra,,3,0,?,?,?,False,104,0,wpa3,PL,województwo dolnośląskie,,Ścięgny,,58-534
50.79042053,15.77830315,TCL-8RGQ-2.4GHz,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,40:5F:7D:54:BD:AA,,infra,,2,0,?,?,?,False,7,0,wpa2,PL,województwo dolnośląskie,,Ścięgny,,58-534
50.79042053,15.77830315,TCL-8RGQ-5GHz,0,20240710-00000,2024-07-08T15:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,40:5F:7D:75:D3:AF,,infra,,2,0,?,?,?,False,36,0,wpa2,PL,województwo dolnośląskie,,Ścięgny,,58-534
50.7779007,15.74783993,70mai_d08_e361,0,20240710-00000,2024-07-10T12:00:00.000Z,2024-07-10T09:00:00.000Z,2024-07-10T10:00:00.000Z,40:80:E1:94:E3:61,,infra,,2,0,?,?,?,False,6,0,wpa2,PL,województwo dolnośląskie,Rybacka,,,58-540
50.81561661,15.67512703,Car-cx7053-06a5,0,20240704-00000,2024-07-04T12:00:00.000Z,2024-07-04T18:00:00.000Z,2024-07-04T18:00:00.000Z,40:9C:A7:A3:06:A5,,infra,,2,0,?,?,?,True,3,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
50.81552887,15.67488098,TCL-FA16-2.4GHz_EXT,0,20240712-00000,2024-07-12T12:00:00.000Z,2024-07-12T06:00:00.000Z,2024-07-12T06:00:00.000Z,40:ED:00:DD:E3:05,,infra,,2,0,?,?,?,True,7,0,wpa2,PL,województwo dolnośląskie,Żołnierska,,72,58-562
